epoch,step,train/car_cropped_loss,train/car_present_loss,train/dirt_on_car_loss,train/dirt_on_tyre_loss,train/distance_to_camera_loss,train/door_state_loss,train/environment_loss,train/image_exposure_loss,train/license_plate_visible_loss,train/photo_realism_loss,train/reflection_level_loss,train/shoot_category_loss,train/tinted_windows_loss,train/total_loss_epoch,train/total_loss_step,train/tyre_visible_loss,train/valid_task_count,val/car_cropped_loss,val/car_present_loss,val/dirt_on_car_loss,val/dirt_on_tyre_loss,val/distance_to_camera_loss,val/door_state_loss,val/environment_loss,val/image_exposure_loss,val/license_plate_visible_loss,val/photo_realism_loss,val/reflection_level_loss,val/shoot_category_loss,val/tinted_windows_loss,val/total_loss,val/tyre_visible_loss,val/valid_task_count
0,1,,,,,,,,,,,,,,,,,,0.6432827711105347,0.6479731798171997,0.654977023601532,0.5977964997291565,0.9873915314674377,1.0286636352539062,0.6174248456954956,0.9402687549591064,0.6384246945381165,0.6460422873497009,1.0457725524902344,1.1054468154907227,0.6064813733100891,10.87725830078125,0.717312216758728,14.0
0,1,0.6568679213523865,0.6887143850326538,0.6826024651527405,0.652940034866333,1.0736984014511108,1.0874732732772827,0.71056067943573,1.0083088874816895,0.6739915013313293,0.6929897665977478,1.0892776250839233,1.1094868183135986,0.6356020569801331,11.44020938873291,,0.6776968240737915,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,0.6216013431549072,0.6316174268722534,0.5777667164802551,0.5239787697792053,0.9177400469779968,0.9994760751724243,0.5667045712471008,0.8289598822593689,0.6160727739334106,0.5802738666534424,1.0031441450119019,1.0879887342453003,0.5402202010154724,10.246354103088379,0.7508096098899841,14.0
1,3,0.5345627069473267,0.5209820866584778,0.47448626160621643,0.4380013346672058,0.8535622954368591,0.890597939491272,0.5912837982177734,0.7317116260528564,0.5777478814125061,0.5680010914802551,0.9892125725746155,0.9174978137016296,0.444190114736557,9.057994842529297,,0.5261573791503906,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,,,,,,,0.6153073906898499,0.6282989382743835,0.5116870403289795,0.4689502716064453,0.8675601482391357,0.9814771413803101,0.5341318249702454,0.7388532757759094,0.580858051776886,0.5258969664573669,0.9661509990692139,1.0786627531051636,0.48543551564216614,9.75564956665039,0.7723789215087891,14.0
2,5,0.4195229709148407,0.48134106397628784,0.3289121985435486,0.3189314603805542,0.69716477394104,0.7401138544082642,0.5539886951446533,0.5240818858146667,0.5199308395385742,0.4485785663127899,0.8859301209449768,0.7927238941192627,0.30542147159576416,7.4634785652160645,,0.4468369483947754,,,,,,,,,,,,,,,,,
3,7,,,,,,,,,,,,,,,,,,0.6241214275360107,0.6382901668548584,0.4638487994670868,0.4334578216075897,0.8460802435874939,0.9677637219429016,0.5024183988571167,0.6807123422622681,0.5578541159629822,0.483768105506897,0.949367105960846,1.0679302215576172,0.44407033920288086,9.450448036193848,0.7907647490501404,14.0
3,7,0.3744763135910034,0.3743187189102173,0.221730574965477,0.2586338222026825,0.5429933071136475,0.6332921385765076,0.48300275206565857,0.3590928912162781,0.41062358021736145,0.3658542335033417,0.7920127511024475,0.6644856929779053,0.20287476480007172,6.057690620422363,,0.3742994964122772,,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,6.060421943664551,,14.0,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,,,,0.6356291174888611,0.636493980884552,0.43096497654914856,0.4118843078613281,0.8373968601226807,0.9520551562309265,0.48170632123947144,0.6407161355018616,0.5320160388946533,0.4566311538219452,0.938449501991272,1.046711802482605,0.4141143560409546,9.202811241149902,0.7880405783653259,14.0
4,9,0.32233181595802307,0.37223121523857117,0.17579585313796997,0.1739937663078308,0.4767790734767914,0.5389402508735657,0.4521237313747406,0.31173989176750183,0.3638329803943634,0.43082311749458313,0.7744687795639038,0.5814149975776672,0.16532178223133087,5.444218158721924,,0.3044208586215973,,,,,,,,,,,,,,,,,
5,11,,,,,,,,,,,,,,,,,,0.6399546265602112,0.6176239252090454,0.4048599898815155,0.3973068296909332,0.8231714367866516,0.9330999255180359,0.4719744026660919,0.6052421927452087,0.4997054934501648,0.44114893674850464,0.9285259246826172,1.0098834037780762,0.3878963589668274,8.92270565032959,0.7623138427734375,14.0
5,11,0.29717543721199036,0.2858527898788452,0.09969472885131836,0.1718510389328003,0.4150751233100891,0.4111703932285309,0.4192213714122772,0.2715139091014862,0.280437171459198,0.3216049075126648,0.6204334497451782,0.5164556503295898,0.1682509332895279,4.503519058227539,,0.2247820496559143,,,,,,,,,,,,,,,,,
6,13,,,,,,,,,,,,,,,,,,0.629837691783905,0.5928539037704468,0.3849565386772156,0.3882305324077606,0.8024640679359436,0.9106221795082092,0.46616172790527344,0.5775571465492249,0.47093087434768677,0.4330703616142273,0.9216430187225342,0.9554571509361267,0.36702629923820496,8.628110885620117,0.7272997498512268,14.0
6,13,0.3331390917301178,0.25364190340042114,0.1474788337945938,0.11972067505121231,0.39014729857444763,0.4160796105861664,0.32477104663848877,0.22444148361682892,0.26375818252563477,0.3145565688610077,0.6120436191558838,0.4877210855484009,0.10145807266235352,4.18946647644043,,0.2005085051059723,,,,,,,,,,,,,,,,,
7,15,,,,,,,,,,,,,,,,,,0.602965235710144,0.5618301630020142,0.36684638261795044,0.3796904385089874,0.7690510153770447,0.8750353455543518,0.46077364683151245,0.5507090091705322,0.44003722071647644,0.42569056153297424,0.9186624884605408,0.9003279209136963,0.34784477949142456,8.284346580505371,0.6848818063735962,14.0
7,15,0.2747398614883423,0.18707413971424103,0.10110287368297577,0.11771152168512344,0.29708680510520935,0.3597205877304077,0.3326338529586792,0.16465049982070923,0.2149229496717453,0.278262734413147,0.5346527695655823,0.37101516127586365,0.08336005359888077,3.473644971847534,,0.15671129524707794,,,,,,,,,,,,,,,,,
8,17,,,,,,,,,,,,,,,,,,0.5685045719146729,0.5317209362983704,0.35012733936309814,0.37221649289131165,0.7333505153656006,0.8371700644493103,0.45400533080101013,0.5248885750770569,0.4100132882595062,0.41955816745758057,0.9151287078857422,0.8581880927085876,0.33079537749290466,7.950199604034424,0.6445319652557373,14.0
8,17,0.19603419303894043,0.15846659243106842,0.05149821937084198,0.18614701926708221,0.23584888875484467,0.29111525416374207,0.258045494556427,0.1687941998243332,0.1639595627784729,0.2034151405096054,0.4640769958496094,0.31462934613227844,0.08953332155942917,2.920238733291626,,0.13867484033107758,,,,,,,,,,,,,,,,,
9,19,,,,,,,,,,,,,,,2.220674514770508,,14.0,,,,,,,,,,,,,,,,
9,19,,,,,,,,,,,,,,,,,,0.5365371108055115,0.5080931782722473,0.3336678743362427,0.3631003201007843,0.7024514079093933,0.8071613907814026,0.4492678642272949,0.5004649758338928,0.38494813442230225,0.417216956615448,0.9070462584495544,0.834918200969696,0.3179876208305359,7.6814656257629395,0.6186052560806274,14.0
9,19,0.17960762977600098,0.11809895187616348,0.052370596677064896,0.15953801572322845,0.22102685272693634,0.22803892195224762,0.19764041900634766,0.09284322708845139,0.14561213552951813,0.18760734796524048,0.3753223419189453,0.24421067535877228,0.04992258548736572,2.3541269302368164,,0.1022871658205986,,,,,,,,,,,,,,,,,
